Date,Open,High,Low,Close,Volume
2019-12-02,13264.93,13338.25,12954.5,12964.68,105692185
2019-12-03,13039.61,13086.03,12927.07,12989.29,87003124
2019-12-04,12998.66,13157.36,12995.32,13140.57,68441918
2019-12-05,13144.38,13188.64,13054.8,13054.8,54216405
2019-12-06,13087.51,13171.21,13055.98,13166.58,60141661
2019-12-09,13147.57,13170.77,13100.24,13105.61,50345087
2019-12-10,13065.83,13091.71,12886.55,13070.72,80063951
2019-12-11,13075.43,13169.77,13042.7,13146.74,69220499
2019-12-12,13167.56,13287.81,13105.07,13221.64,83998794
2019-12-13,13383.26,13423.41,13255.55,13282.72,106137124
2019-12-16,13349.86,13425.85,13338.38,13407.66,71200805
2019-12-17,13391.27,13394.47,13269.43,13287.83,79260456
2019-12-18,13266.35,13286,13215.88,13222.16,71000997
2019-12-19,13226.7,13248.98,13140.22,13211.96,84018156
2019-12-20,13210.26,13324.11,13201.8,13318.9,170723223
2019-12-23,13304.77,13331.86,13285.55,13300.98,56215375
2019-12-27,13338.32,13381.44,13311.52,13337.11,43758558
2019-12-30,13301.43,13316.62,13244.17,13249.01,31427409
2020-01-02,13233.71,13425.03,13225.16,13385.93,75341368
2020-01-03,13266.39,13282.74,13120.72,13219.14,80793402
2020-01-06,13085.49,13143.11,12948.17,13126.99,71778648
2020-01-07,13199.59,13283.88,13166.4,13226.83,78282325
2020-01-08,13140.49,13334.04,13106.27,13320.18,88178791
2020-01-09,13474.76,13523.34,13456.78,13495.06,86965605
2020-01-10,13533.46,13548.2,13483.31,13483.31,77941022
2020-01-13,13521.86,13529.21,13404.72,13451.52,67208343
2020-01-14,13439.2,13487.9,13362.2,13456.49,74555365
2020-01-15,13444.95,13458.91,13388.48,13432.3,72046445
2020-01-16,13463.46,13492.74,13382.98,13429.43,71071235
2020-01-17,13513.48,13557.78,13497.3,13526.13,86342758
2020-01-20,13503.83,13550.83,13487.21,13548.94,52882445
2020-01-21,13456.9,13560.68,13443.25,13555.87,64630880
2020-01-22,13601.65,13640.06,13498.03,13515.75,73130717
2020-01-23,13455.9,13486.14,13382.23,13388.42,90749929
2020-01-24,13512.84,13604.85,13510.79,13576.68,85645279
2020-01-27,13374.99,13399.42,13195.28,13204.77,101409189
2020-01-28,13274.01,13327.12,13163.36,13323.69,91825265
2020-01-29,13316.42,13371.3,13296.03,13345,67876754
2020-01-30,13186.49,13262.18,13118.97,13157.12,100706051
2020-01-31,13196.8,13208.47,12973.7,12981.97,106903828
2020-02-03,13033.17,13077.57,12987.53,13045.19,81389097
2020-02-04,13135.61,13282.63,13131.07,13281.74,80887430
2020-02-05,13224.27,13488.58,13223.14,13478.33,108453850
2020-02-06,13570.33,13606.97,13533.66,13574.82,114567932
2020-02-07,13530.77,13551.03,13463.98,13513.81,87036924
2020-02-10,13476,13501.74,13445.41,13494.03,60456491
2020-02-11,13604.74,13668.43,13557.96,13627.84,104753454
2020-02-12,13671.15,13758.7,13658.15,13749.78,86733293
2020-02-13,13695.93,13745.43,13576.96,13745.43,92086968
2020-02-14,13756.47,13788.51,13728.12,13744.21,66314909
2020-02-17,13770.67,13795.24,13754.04,13783.89,57400064
2020-02-18,13668.94,13731.39,13660.45,13681.19,82088707
2020-02-19,13751.05,13789,13710.78,13789,90192858
2020-02-20,13774.44,13788.41,13664,13664,86435175
2020-02-21,13609.94,13689.23,13500.5,13579.33,108765356
2020-02-24,13231.38,13236.58,12982.14,13035.24,165148940
2020-02-25,13132.04,13132.04,12778.66,12790.49,129552457
2020-02-26,12682.16,12849.17,12368.05,12774.88,163618876
2020-02-27,12526.6,12593.62,12211.63,12367.46,191240879
2020-02-28,11891.87,12008.59,11724.12,11890.35,274623736
2020-03-02,12030.27,12121.6,11624.63,11857.87,207214106
2020-03-03,12013.06,12272.99,11906.82,11985.39,195936581
2020-03-04,11992.59,12199.82,11929.24,12127.69,147845684
2020-03-05,12191.41,12207.77,11844.88,11944.72,148085992
2020-03-06,11694.56,11769.85,11447.2,11541.87,195038510
2020-03-09,10690.08,10995.22,10556.64,10625.02,303034343
2020-03-10,10724.98,11032.29,10423.9,10475.49,267400777
2020-03-11,10601.85,10761.43,10390.51,10438.68,216708903
2020-03-12,9863.99,9932.56,9139.12,9161.13,390476955
2020-03-13,9480.78,9985.74,9064.68,9232.08,321571982
2020-03-16,8728.48,8967.11,8255.65,8742.25,302202377
2020-03-17,9141.17,9145.93,8423.56,8939.1,219831057
2020-03-18,8613.35,8670.41,8400.18,8441.71,207558917
2020-03-19,8495.94,8668.48,8257.53,8610.43,197661806
2020-03-20,9080.49,9201.07,8838.3,8928.95,275377138
2020-03-23,8536.33,9071.14,8480.28,8741.15,196955328
2020-03-24,9242.06,9700.57,9102.17,9700.57,203840659
2020-03-25,9987.37,10137.62,9460.91,9874.26,204692472
2020-03-26,9621.24,10000.96,9526.17,10000.96,159043548
2020-03-27,9793.5,9886.18,9541.83,9632.52,153649376
2020-03-30,9725.88,9817.51,9453.79,9815.97,130838090
2020-03-31,9970.79,10096.42,9703.88,9935.84,149898492
2020-04-01,9610.67,9686.46,9498.05,9544.75,132862244
2020-04-02,9587.45,9650.27,9337.02,9570.82,143970510
2020-04-03,9535.27,9626.72,9470.2,9525.77,116245349
2020-04-06,9889.03,10097.31,9841.49,10075.17,126427605
2020-04-07,10464.11,10590.41,10225.02,10356.7,149513081
2020-04-08,10301.56,10340.79,10198.22,10332.89,102430717
2020-04-09,10490.65,10649.79,10311.7,10564.74,134477129
2020-04-14,10733.97,10820.17,10658.96,10696.56,106043697
2020-04-15,10678.19,10678.19,10243.11,10279.76,133088517
2020-04-16,10420.26,10438.37,10236.24,10301.54,106131503
2020-04-17,10607.35,10756.78,10542.71,10625.78,143237310
2020-04-20,10704.35,10707.31,10444.55,10675.9,103611138
2020-04-21,10519.44,10524.73,10249.85,10249.85,117447038
2020-04-22,10370.25,10425.02,10321.2,10415.03,92389540
2020-04-23,10437.38,10608.39,10325.11,10513.79,97479659
2020-04-24,10299.31,10486.47,10299.31,10336.09,120035017
2020-04-27,10551.07,10660.36,10523.1,10659.99,122476571
2020-04-28,10658.47,10897.82,10651.58,10795.63,146280906
2020-04-29,10812.74,11125.35,10789.52,11107.74,143532353
2020-04-30,11195.21,11235.57,10839.3,10861.64,162128912
2020-05-04,10543.36,10578.43,10426.06,10466.8,139568727
2020-05-05,10627.07,10736.95,10518.94,10729.46,102664087
2020-05-06,10716.51,10773.86,10598.9,10606.2,94383622
2020-05-07,10640.77,10761.86,10617.23,10759.27,101837535
2020-05-08,10882.44,10918.32,10819.07,10904.48,81795682
2020-05-11,10948.24,10986.22,10740.82,10824.99,87818443
2020-05-12,10777.74,10886.01,10772.58,10819.5,88363245
2020-05-13,10669.99,10698.13,10530.32,10542.66,107169194
2020-05-14,10418.04,10474.08,10160.89,10337.02,133623603
2020-05-15,10470.85,10547.19,10382.54,10465.17,115586629
2020-05-18,10683.86,11089.5,10677.52,11058.87,117494791
2020-05-19,11200.92,11201.18,10936.07,11075.29,125423950
2020-05-20,11029.33,11246.91,10978.57,11223.71,98827181
2020-05-21,11088.12,11194.92,11036.91,11065.93,73570348
2020-05-22,10896.28,11138.15,10867.17,11073.87,85650095
2020-05-25,11186.04,11391.28,11118.12,11391.28,72133528
2020-05-26,11488.99,11544.35,11429.88,11504.65,124580891
2020-05-27,11530.2,11747.2,11519.77,11657.69,167713580
2020-05-28,11746.78,11813.14,11654.83,11781.13,123606112
2020-05-29,11649.37,11729.98,11575.74,11586.85,170079651
